epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,2261.27,1.59833,1.27923,1.31395,0.75467,0.58271,0.67638,0.3664,1.75332,1.01753,1.30912,0.007921,0.007921,0.007921
107,2282.39,1.58978,1.29493,1.31828,0.65894,0.60946,0.65744,0.36422,1.75768,1.01911,1.31356,0.0079012,0.0079012,0.0079012
108,2303.44,1.59609,1.27612,1.30964,0.67397,0.61542,0.65339,0.35879,1.78057,1.03497,1.32649,0.0078814,0.0078814,0.0078814
109,2324.56,1.58259,1.28258,1.30565,0.66114,0.59952,0.65131,0.35536,1.77376,1.00461,1.3224,0.0078616,0.0078616,0.0078616
110,2345.61,1.5823,1.27278,1.31051,0.66331,0.61946,0.66181,0.37127,1.73967,1.00058,1.30288,0.0078418,0.0078418,0.0078418
111,2366.79,1.57948,1.26655,1.31087,0.65128,0.61317,0.6639,0.35966,1.78121,1.00172,1.32406,0.007822,0.007822,0.007822
112,2387.88,1.57624,1.25701,1.30381,0.65859,0.62729,0.66333,0.35941,1.79067,1.01428,1.3294,0.0078022,0.0078022,0.0078022
113,2410.16,1.58973,1.29115,1.31718,0.60278,0.64254,0.65241,0.35376,1.75631,1.02246,1.3162,0.0077824,0.0077824,0.0077824
114,2431.13,1.57974,1.27871,1.30691,0.65376,0.58032,0.65109,0.36147,1.72511,1.01933,1.30379,0.0077626,0.0077626,0.0077626
115,2452.13,1.56913,1.26536,1.30519,0.66281,0.60987,0.66734,0.36699,1.7353,1.01683,1.30538,0.0077428,0.0077428,0.0077428
116,2473.28,1.57804,1.25553,1.30218,0.70132,0.5642,0.66394,0.36006,1.76305,1.02735,1.31747,0.007723,0.007723,0.007723
117,2494.31,1.57225,1.25222,1.30096,0.66017,0.59662,0.67393,0.3728,1.74925,1.00871,1.31044,0.0077032,0.0077032,0.0077032
118,2515.53,1.56202,1.23757,1.29593,0.59405,0.64417,0.67206,0.36852,1.75958,1.01748,1.31581,0.0076834,0.0076834,0.0076834
119,2536.53,1.56825,1.2765,1.30505,0.64682,0.61609,0.66365,0.36536,1.75721,1.01614,1.31532,0.0076636,0.0076636,0.0076636
120,2557.51,1.56305,1.24411,1.29282,0.63141,0.60333,0.65408,0.356,1.77749,1.02229,1.32358,0.0076438,0.0076438,0.0076438
121,2578.49,1.57331,1.24866,1.30456,0.63699,0.60543,0.66357,0.35303,1.79077,1.01382,1.32559,0.007624,0.007624,0.007624
122,2599.59,1.56994,1.26648,1.30825,0.63621,0.62829,0.66725,0.36085,1.77074,1.01963,1.31632,0.0076042,0.0076042,0.0076042
123,2620.88,1.55731,1.24271,1.29627,0.71716,0.58659,0.66369,0.36332,1.75449,1.01287,1.30622,0.0075844,0.0075844,0.0075844
124,2641.94,1.55491,1.22865,1.29002,0.69221,0.60141,0.66668,0.36729,1.7463,1.00282,1.30209,0.0075646,0.0075646,0.0075646
125,2663.12,1.54873,1.22427,1.28781,0.62218,0.64059,0.66118,0.36815,1.74006,0.99294,1.29666,0.0075448,0.0075448,0.0075448
126,2686.45,1.55142,1.23393,1.29372,0.64316,0.62349,0.66643,0.36577,1.76046,1.00362,1.30684,0.007525,0.007525,0.007525
127,2707.53,1.54427,1.21222,1.28846,0.64889,0.63,0.66653,0.36437,1.77186,1.00431,1.31732,0.0075052,0.0075052,0.0075052
128,2728.87,1.53668,1.22716,1.28387,0.6334,0.63668,0.67152,0.37041,1.759,0.9984,1.30942,0.0074854,0.0074854,0.0074854
129,2750.1,1.54071,1.20405,1.27575,0.66026,0.60802,0.67548,0.37024,1.78595,0.99354,1.32113,0.0074656,0.0074656,0.0074656
130,2771.19,1.53475,1.21604,1.28445,0.66444,0.62594,0.67267,0.36849,1.78526,0.99096,1.32269,0.0074458,0.0074458,0.0074458
131,2792.27,1.52387,1.19542,1.27539,0.66917,0.62574,0.67398,0.36492,1.77724,0.98102,1.31653,0.007426,0.007426,0.007426
132,2813.26,1.54978,1.22775,1.28636,0.67947,0.61262,0.67213,0.36617,1.76356,0.97288,1.30603,0.0074062,0.0074062,0.0074062
133,2834.37,1.54009,1.21861,1.2839,0.67404,0.63227,0.67606,0.36716,1.76127,0.97136,1.30553,0.0073864,0.0073864,0.0073864
134,2855.47,1.54744,1.22038,1.28902,0.66374,0.65404,0.67985,0.37159,1.74422,0.96584,1.29662,0.0073666,0.0073666,0.0073666
135,2876.62,1.54246,1.2163,1.2844,0.72901,0.59704,0.67909,0.37649,1.74159,0.96157,1.29773,0.0073468,0.0073468,0.0073468
136,2897.7,1.52721,1.2204,1.28507,0.71236,0.60439,0.67409,0.37131,1.74934,0.96151,1.30359,0.007327,0.007327,0.007327
137,2918.8,1.5427,1.2158,1.28838,0.71921,0.598,0.66816,0.37463,1.74459,0.96332,1.30215,0.0073072,0.0073072,0.0073072
138,2939.86,1.51879,1.18156,1.27567,0.69153,0.62242,0.67285,0.37715,1.74074,0.962,1.30127,0.0072874,0.0072874,0.0072874
139,2960.84,1.52291,1.19706,1.27172,0.71814,0.62169,0.67349,0.3761,1.73694,0.96455,1.29935,0.0072676,0.0072676,0.0072676
140,2982.03,1.52588,1.21193,1.27982,0.72829,0.61329,0.67234,0.37614,1.73516,0.96492,1.29753,0.0072478,0.0072478,0.0072478
141,3003,1.51732,1.18102,1.2703,0.68876,0.63291,0.6772,0.38434,1.74798,0.96717,1.30495,0.007228,0.007228,0.007228
142,3024.22,1.51778,1.19801,1.2691,0.70638,0.60453,0.67419,0.38066,1.75465,0.97094,1.30826,0.0072082,0.0072082,0.0072082
143,3045.32,1.50511,1.18783,1.27386,0.70916,0.59489,0.67034,0.37658,1.75414,0.97457,1.30918,0.0071884,0.0071884,0.0071884
144,3066.41,1.5199,1.18495,1.28053,0.70605,0.5993,0.67165,0.3768,1.75419,0.97329,1.3084,0.0071686,0.0071686,0.0071686
145,3087.44,1.52698,1.20229,1.27914,0.68483,0.59977,0.67368,0.37442,1.76301,0.97371,1.31381,0.0071488,0.0071488,0.0071488
146,3108.54,1.52486,1.19794,1.27968,0.65318,0.63008,0.67033,0.37081,1.77228,0.97843,1.31962,0.007129,0.007129,0.007129
147,3129.66,1.50711,1.18506,1.27755,0.67889,0.61211,0.67273,0.37023,1.7742,0.97715,1.32164,0.0071092,0.0071092,0.0071092
148,3150.66,1.52633,1.19221,1.28161,0.64753,0.63119,0.67253,0.36951,1.78149,0.97618,1.32582,0.0070894,0.0070894,0.0070894
149,3171.68,1.5105,1.16572,1.26848,0.65136,0.63749,0.67141,0.37182,1.7703,0.97289,1.31773,0.0070696,0.0070696,0.0070696
150,3192.81,1.51479,1.18664,1.27013,0.70609,0.59565,0.67935,0.37684,1.77208,0.97103,1.31859,0.0070498,0.0070498,0.0070498
151,3213.8,1.51087,1.17063,1.26963,0.69563,0.6005,0.67849,0.37906,1.77534,0.9735,1.32072,0.00703,0.00703,0.00703
152,3234.82,1.50751,1.17391,1.27098,0.69299,0.60738,0.67943,0.38039,1.76585,0.96849,1.31516,0.0070102,0.0070102,0.0070102
153,3255.79,1.49583,1.15983,1.26237,0.70775,0.60394,0.68333,0.38297,1.76232,0.96608,1.31247,0.0069904,0.0069904,0.0069904
